"GSPTSE.Open" "GSPTSE.High" "GSPTSE.Low" "GSPTSE.Close" "GSPTSE.Volume" "GSPTSE.Adjusted"
"2008-03-05" 13565.900391 13650.099609 13476.799805 13603.299805 277049000 13603.299805
"2008-03-06" 13617.099609 13604.900391 13347.799805 13360.400391 223792300 13360.400391
"2008-03-07" 13215.200195 13419.5 13147.700195 13281.700195 214546900 13281.700195
"2008-03-10" 13266.900391 13281.700195 12980.400391 13005.099609 196905800 13005.099609
"2008-03-11" 13197.200195 13344.5 13005.099609 13344.5 252834800 13344.5
"2008-03-12" 13349.200195 13381.099609 13237.400391 13297.400391 216394700 13297.400391
"2008-03-13" 13171.400391 13454.200195 13123.400391 13443.5 251918900 13443.5
"2008-03-14" 13486.400391 13495.599609 13160.400391 13252.799805 251022300 13252.799805
"2008-03-17" 12922.700195 13252.799805 12797.799805 12952.200195 268053000 12952.200195
"2008-03-18" 13068.299805 13140.200195 12952.200195 13136.700195 220571200 13136.700195
"2008-03-19" 13119.799805 13147 12695.200195 12709.400391 275035200 12709.400391
"2008-03-20" 12618 12833.599609 12453.900391 12775.599609 374695000 12775.599609
"2008-03-24" 12892.599609 13113.5 12775.599609 13019.700195 199119800 13019.700195
"2008-03-25" 13126.400391 13324.099609 13019.700195 13322.200195 280179500 13322.200195
"2008-03-26" 13329.700195 13419.700195 13277.700195 13391.900391 284192900 13391.900391
"2008-03-27" 13403.200195 13454.5 13350 13405.799805 243022800 13405.799805
"2008-03-28" 13402 13419.400391 13224.799805 13233.799805 245537300 13233.799805
"2008-03-31" 13281.200195 13350.099609 13131.099609 13350.099609 240603300 13350.099609
"2008-04-01" 13337.700195 13440.700195 13254 13440.700195 240400400 13440.700195
"2008-04-02" 13515 13598.299805 13440.700195 13514.099609 249818800 13514.099609
"2008-04-03" 13475.700195 13633.400391 13472.099609 13551.299805 240891400 13551.299805
"2008-04-04" 13598.5 13721.099609 13551.299805 13668.200195 217658400 13668.200195
"2008-04-07" 13800.200195 13897.400391 13668.200195 13745 221763300 13745
"2008-04-08" 13626.099609 13763.700195 13643.099609 13727.5 202982800 13727.5
"2008-04-09" 13737.299805 13767.400391 13682.599609 13750.599609 212498900 13750.599609
"2008-04-10" 13804.400391 13909.599609 13704.799805 13909.599609 218197300 13909.599609
"2008-04-11" 13787.700195 13909.599609 13666.5 13683 185122600 13683
"2008-04-14" 13689.599609 13775.099609 13669.599609 13738.599609 167636500 13738.599609
